,CSF,GM,WM,modalities,subject,model,init,time,iterations
0,0.8822180814220072,0.8046756794923152,0.8736811979827357,T1,0,EM,kmeans,5.563373804092407,36
1,0.9101994065603045,0.8271601615878911,0.8722418250703263,T1+T2,0,EM,kmeans,11.482558727264404,43
2,0.8822180814220072,0.8046756794923152,0.8736811979827357,T1,0,EM,random,5.039385557174683,34
3,0.9101994065603045,0.8271601615878911,0.8722418250703263,T1+T2,0,EM,random,9.45051121711731,46
4,0.8618385939081623,0.747046292398556,0.7904459422158399,T1,1,EM,kmeans,4.851028919219971,28
5,0.8309544443921443,0.7657681056760196,0.8088218445675005,T1+T2,1,EM,kmeans,12.779329061508179,46
6,0.8618385939081623,0.747046292398556,0.7904459422158399,T1,1,EM,random,7.012151002883911,44
7,0.8309544443921443,0.7657681056760196,0.8088218445675005,T1+T2,1,EM,random,16.38677144050598,79
8,0.8691592337757934,0.7964616319592259,0.8750427223419274,T1,2,EM,kmeans,5.4003965854644775,30
9,0.8647759967118783,0.7915352743595889,0.8663163499155073,T1+T2,2,EM,kmeans,11.058852910995483,43
10,0.8729771184559678,0.7884113095183671,0.875029719448407,T1,2,EM,random,6.626754283905029,45
11,0.8647759967118783,0.7915352743595889,0.8663163499155073,T1+T2,2,EM,random,11.126265525817871,55
12,0.8898036176978987,0.8161702480219202,0.863222203285394,T1,3,EM,kmeans,4.988251686096191,29
13,0.9039572178223444,0.8300703449444868,0.8709847240657833,T1+T2,3,EM,kmeans,10.889190673828125,39
14,0.8898036176978987,0.8161702480219202,0.863222203285394,T1,3,EM,random,5.231914043426514,39
15,0.9039572178223444,0.8300703449444868,0.8709847240657833,T1+T2,3,EM,random,10.221892833709717,48
16,0.8585347757951078,0.837776837000278,0.8951613776377475,T1,4,EM,kmeans,5.167957544326782,26
17,0.8626076402331202,0.8398370785935348,0.9019173572270338,T1+T2,4,EM,kmeans,10.77747392654419,36
18,0.8534088065128741,0.8389931322663521,0.9026945327565539,T1,4,EM,random,5.361008167266846,38
19,0.8625889245361975,0.8397932749665508,0.9019233719055262,T1+T2,4,EM,random,9.024964570999146,46
