,CSF,GM,WM,modalities,subject,model,time,iterations
0,0.8605835504430386,0.7189965933725612,0.8237972078251773,T1,0,KM,0.5965902805328369,3
1,0.8235190471156218,0.693649652383975,0.8138045788464972,T1+T2,0,KM,2.1159043312072754,4
2,0.8822180814220072,0.8046756794923152,0.8736811979827357,T1,0,EM,5.489656448364258,36
3,0.9101994065603045,0.8271601615878911,0.8722418250703263,T1+T2,0,EM,9.861746072769165,43
4,0.7976864444776566,0.7538313001082846,0.8251041642599138,T1,0,SPM,0.0,0
5,0.7980089649938336,0.7604392728224478,0.830556234345409,T1+T2,0,SPM,0.0,0
6,0.8596794673118645,0.7317630506259012,0.7699775435032794,T1,1,KM,0.7142224311828613,11
7,0.8697699997638255,0.7282034810190111,0.7622404076525383,T1+T2,1,KM,2.793490171432495,4
8,0.8618385939081623,0.747046292398556,0.7904459422158399,T1,1,EM,5.091877698898315,28
9,0.8309544443921443,0.7657681056760196,0.8088218445675005,T1+T2,1,EM,12.077585935592651,46
10,0.749920468815404,0.7041013294156087,0.7565995509338451,T1,1,SPM,0.0,0
11,0.7386930933102241,0.7295086732759843,0.7604570749161892,T1+T2,1,SPM,0.0,0
12,0.8413339902280733,0.7351177670537032,0.8499278122203132,T1,2,KM,0.5999929904937744,4
13,0.8179394070363781,0.7057733489596436,0.833633159381159,T1+T2,2,KM,2.263762950897217,11
14,0.8691592337757934,0.7964616319592259,0.8750427223419274,T1,2,EM,4.8966686725616455,30
15,0.8647759967118783,0.7915352743595889,0.8663163499155073,T1+T2,2,EM,11.655392408370972,43
16,0.7807634600502235,0.7312105650898593,0.8220734617016952,T1,2,SPM,0.0,0
17,0.7696099992669159,0.7363971348851773,0.8206985581556028,T1+T2,2,SPM,0.0,0
18,0.8543335706523776,0.7194013239006183,0.7938108229789166,T1,3,KM,0.5946559906005859,10
19,0.8454466317445288,0.7178602504903997,0.7925839113143384,T1+T2,3,KM,1.9859960079193115,5
20,0.8898036176978987,0.8161702480219202,0.863222203285394,T1,3,EM,4.879912853240967,29
21,0.9039572178223444,0.8300703449444868,0.8709847240657833,T1+T2,3,EM,10.329502820968628,39
22,0.800761888577336,0.7673933679618589,0.8165312002752333,T1,3,SPM,0.0,0
23,0.8019707926653867,0.764510276446616,0.816511499383582,T1+T2,3,SPM,0.0,0
24,0.8551766325126167,0.801922777617603,0.8540509193682239,T1,4,KM,0.6710598468780518,4
25,0.8679283753970876,0.8113638611162529,0.8505228310654054,T1+T2,4,KM,2.143840789794922,5
26,0.8585347757951078,0.837776837000278,0.8951613776377475,T1,4,EM,5.29595422744751,26
27,0.8626076402331202,0.8398370785935348,0.9019173572270338,T1+T2,4,EM,10.290541887283325,36
28,0.7216294612566155,0.7851994024873202,0.8411799686446939,T1,4,SPM,0.0,0
29,0.7713009730116569,0.7842727873635266,0.8432468519399721,T1+T2,4,SPM,0.0,0
