,CSF,GM,WM,modalities,subject,model,init,variant,time
0,0.7964681337398335,0.7177480906121982,0.8224072010348621,T1,0,EM,kmeans,hard,3.5267539024353027
1,0.8145156905112831,0.7555020950920651,0.8267765190525231,T1+T2,0,EM,kmeans,hard,8.021945476531982
2,0.8055593270548157,0.723506521410439,0.8223718392019579,T1,0,EM,kmeans,fuzzy,3.4586446285247803
3,0.8129615010168016,0.750800003365483,0.8295976642952524,T1+T2,0,EM,kmeans,fuzzy,6.990726470947266
4,0.7770451403498226,0.6741337433023734,0.7172886401339555,T1,1,EM,kmeans,hard,3.5267539024353027
5,0.7035949029764822,0.6975976508851719,0.7564813404983047,T1+T2,1,EM,kmeans,hard,8.021945476531982
6,0.7624730620589301,0.6594341826108959,0.7173931920805835,T1,1,EM,kmeans,fuzzy,3.4586446285247803
7,0.7124886392309708,0.6966568435162279,0.7545426065162907,T1+T2,1,EM,kmeans,fuzzy,6.990726470947266
8,0.7635007404677573,0.7179402689991912,0.8216905194229587,T1,2,EM,kmeans,hard,3.5267539024353027
9,0.763553738574093,0.7241911069332069,0.8180558434898362,T1+T2,2,EM,kmeans,hard,8.021945476531982
10,0.7759994622276,0.7157715876022117,0.8241388880323167,T1,2,EM,kmeans,fuzzy,3.4586446285247803
11,0.7609825507804575,0.7203657782324958,0.8202006221232208,T1+T2,2,EM,kmeans,fuzzy,6.990726470947266
12,0.7949234289737722,0.7510142702736572,0.8170607185873312,T1,3,EM,kmeans,hard,3.5267539024353027
13,0.8136526968937351,0.7711897334561885,0.8259872391791688,T1+T2,3,EM,kmeans,hard,8.021945476531982
14,0.8141730941880353,0.7465472486971685,0.8028081750885098,T1,3,EM,kmeans,fuzzy,3.4586446285247803
15,0.8120093325835785,0.7621378888304704,0.8208418219933272,T1+T2,3,EM,kmeans,fuzzy,6.990726470947266
16,0.7637981551817689,0.7702928952278522,0.8384422014986014,T1,4,EM,kmeans,hard,3.5267539024353027
17,0.7551235181545296,0.7716707021791768,0.839918638769394,T1+T2,4,EM,kmeans,hard,8.021945476531982
18,0.7540409381982159,0.752152209245979,0.8278562130770001,T1,4,EM,kmeans,fuzzy,3.4586446285247803
19,0.74101008326379,0.7588374445977913,0.8388451407133363,T1+T2,4,EM,kmeans,fuzzy,6.990726470947266
